epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
70,3588.3,0.18305,0.3499,0.16024,0.96323,0.95775,0.961,0.71651,0.27227,0.3775,0.37527,7.723e-05,7.723e-05,7.723e-05
71,3639.44,0.18853,0.34822,0.1723,0.96059,0.94095,0.95759,0.70941,0.27567,0.40563,0.38482,7.69e-05,7.69e-05,7.69e-05
72,3690.56,0.18585,0.34672,0.16514,0.95744,0.95258,0.95182,0.71136,0.28607,0.40153,0.39815,7.657e-05,7.657e-05,7.657e-05
73,3741.57,0.17774,0.33884,0.162,0.93989,0.94401,0.94551,0.70157,0.27851,0.43847,0.39119,7.624e-05,7.624e-05,7.624e-05
74,3792.6,0.18018,0.34411,0.16524,0.94942,0.9531,0.94916,0.70585,0.27883,0.37575,0.39507,7.591e-05,7.591e-05,7.591e-05
75,3843.72,0.17366,0.32812,0.15812,0.95006,0.93662,0.9466,0.69551,0.2854,0.43091,0.39523,7.558e-05,7.558e-05,7.558e-05
76,3894.79,0.18116,0.32868,0.16367,0.95451,0.95945,0.95715,0.71023,0.28507,0.37585,0.38981,7.525e-05,7.525e-05,7.525e-05
77,3945.67,0.16681,0.32551,0.15251,0.95911,0.95056,0.9518,0.71508,0.26759,0.39403,0.35102,7.492e-05,7.492e-05,7.492e-05
78,3996.68,0.17595,0.33273,0.16823,0.96161,0.93803,0.94892,0.71369,0.27127,0.40388,0.37232,7.459e-05,7.459e-05,7.459e-05
79,4047.73,0.17343,0.32412,0.1574,0.96641,0.94452,0.95345,0.72142,0.2704,0.38428,0.36613,7.426e-05,7.426e-05,7.426e-05
80,4098.99,0.17757,0.33296,0.15384,0.9591,0.95323,0.95052,0.7051,0.27839,0.42979,0.38114,7.393e-05,7.393e-05,7.393e-05
81,4150.15,0.17464,0.33855,0.15675,0.97001,0.95505,0.95792,0.71526,0.27202,0.39086,0.36498,7.36e-05,7.36e-05,7.36e-05
82,4201.38,0.16898,0.32277,0.15088,0.9651,0.9442,0.96215,0.71297,0.28058,0.3868,0.39304,7.327e-05,7.327e-05,7.327e-05
83,4252.56,0.16969,0.32035,0.1514,0.975,0.95527,0.96066,0.71525,0.27542,0.37872,0.38928,7.294e-05,7.294e-05,7.294e-05
84,4303.63,0.16551,0.32767,0.14838,0.96744,0.95124,0.96329,0.71582,0.27984,0.38606,0.3923,7.261e-05,7.261e-05,7.261e-05
85,4354.69,0.16958,0.31773,0.15009,0.96465,0.95934,0.96692,0.71566,0.28044,0.36922,0.39311,7.228e-05,7.228e-05,7.228e-05
86,4405.74,0.17594,0.31291,0.16066,0.9704,0.9424,0.95596,0.70028,0.28515,0.38313,0.40834,7.195e-05,7.195e-05,7.195e-05
87,4456.82,0.16705,0.32392,0.14764,0.96501,0.96035,0.96293,0.72003,0.27368,0.39068,0.366,7.162e-05,7.162e-05,7.162e-05
88,4507.94,0.16632,0.33019,0.14912,0.97846,0.95452,0.96199,0.71576,0.27812,0.36786,0.3679,7.129e-05,7.129e-05,7.129e-05
89,4559.06,0.17213,0.32532,0.15125,0.96753,0.95583,0.96193,0.71584,0.27819,0.39386,0.38172,7.096e-05,7.096e-05,7.096e-05
90,4610.15,0.16537,0.32531,0.14541,0.97259,0.95496,0.96064,0.70986,0.28026,0.37376,0.38805,7.063e-05,7.063e-05,7.063e-05
91,4661.13,0.16915,0.31942,0.14934,0.96319,0.94577,0.95225,0.70368,0.28484,0.38408,0.3933,7.03e-05,7.03e-05,7.03e-05
92,4712.31,0.16802,0.31293,0.15385,0.95712,0.95722,0.95712,0.70533,0.2847,0.38759,0.39191,6.997e-05,6.997e-05,6.997e-05
93,4763.46,0.15885,0.31284,0.14242,0.97054,0.95444,0.96203,0.70925,0.28314,0.37552,0.38886,6.964e-05,6.964e-05,6.964e-05
94,4814.59,0.16184,0.30217,0.14332,0.97093,0.94928,0.95816,0.71576,0.27471,0.41019,0.37275,6.931e-05,6.931e-05,6.931e-05
95,4865.7,0.16926,0.30936,0.14618,0.97055,0.94485,0.95954,0.72024,0.27309,0.37981,0.37608,6.898e-05,6.898e-05,6.898e-05
96,4916.8,0.15876,0.29867,0.14162,0.96998,0.94606,0.95601,0.71129,0.28178,0.38631,0.38454,6.865e-05,6.865e-05,6.865e-05
97,4968.25,0.16197,0.29566,0.14395,0.96858,0.95389,0.95393,0.70535,0.28806,0.4005,0.41854,6.832e-05,6.832e-05,6.832e-05
98,5019.29,0.15702,0.30171,0.14286,0.96951,0.95434,0.96133,0.71368,0.28378,0.37709,0.40709,6.799e-05,6.799e-05,6.799e-05
99,5070.44,0.15215,0.29351,0.13796,0.96273,0.9534,0.96178,0.7159,0.27521,0.40546,0.37257,6.766e-05,6.766e-05,6.766e-05
100,5121.61,0.16042,0.30318,0.13537,0.96865,0.95075,0.95696,0.71776,0.27283,0.37856,0.38612,6.733e-05,6.733e-05,6.733e-05
101,5172.7,0.15933,0.29963,0.13885,0.97228,0.95537,0.95871,0.7078,0.2835,0.38983,0.40481,6.7e-05,6.7e-05,6.7e-05
102,5223.7,0.1554,0.30164,0.13318,0.97077,0.9551,0.96017,0.71308,0.2796,0.3774,0.39518,6.667e-05,6.667e-05,6.667e-05
103,5274.86,0.1615,0.31113,0.14815,0.97122,0.94331,0.96082,0.71813,0.26908,0.39956,0.36834,6.634e-05,6.634e-05,6.634e-05
104,5326.01,0.16016,0.30099,0.14023,0.97289,0.95291,0.96458,0.71982,0.27408,0.3673,0.37698,6.601e-05,6.601e-05,6.601e-05
105,5376.95,0.15389,0.29745,0.13898,0.96839,0.95507,0.96573,0.72221,0.27348,0.3735,0.36896,6.568e-05,6.568e-05,6.568e-05
106,5428.2,0.15384,0.29203,0.13277,0.97296,0.94461,0.96194,0.71622,0.27665,0.37306,0.36697,6.535e-05,6.535e-05,6.535e-05
107,5479.4,0.1532,0.29076,0.13394,0.96259,0.95039,0.95575,0.70514,0.27819,0.39001,0.37876,6.502e-05,6.502e-05,6.502e-05
108,5530.43,0.15344,0.29748,0.1352,0.96364,0.9522,0.95485,0.71251,0.27195,0.37742,0.37198,6.469e-05,6.469e-05,6.469e-05
109,5581.71,0.15059,0.29294,0.13443,0.97211,0.93735,0.95365,0.71784,0.26714,0.38393,0.3603,6.436e-05,6.436e-05,6.436e-05
110,5632.81,0.1534,0.29585,0.13261,0.97378,0.95729,0.95953,0.71653,0.2762,0.39163,0.3795,6.403e-05,6.403e-05,6.403e-05
111,5683.91,0.15042,0.28756,0.13468,0.97777,0.9518,0.96273,0.71762,0.27685,0.36569,0.36862,6.37e-05,6.37e-05,6.37e-05
112,5734.92,0.15173,0.28955,0.13156,0.97198,0.95308,0.95787,0.7226,0.27304,0.38119,0.36867,6.337e-05,6.337e-05,6.337e-05
113,5786,0.14499,0.27956,0.12678,0.97181,0.95138,0.95979,0.72032,0.27229,0.40181,0.36431,6.304e-05,6.304e-05,6.304e-05
114,5837.02,0.14858,0.28148,0.13574,0.97166,0.95544,0.9598,0.71588,0.27584,0.3771,0.36525,6.271e-05,6.271e-05,6.271e-05
115,5888.11,0.14637,0.29212,0.12733,0.97033,0.95017,0.96369,0.7178,0.28094,0.38545,0.3789,6.238e-05,6.238e-05,6.238e-05
116,5939.16,0.14804,0.27599,0.13331,0.97351,0.95802,0.9674,0.71856,0.27592,0.38021,0.3792,6.205e-05,6.205e-05,6.205e-05
117,5990.08,0.14999,0.28228,0.13323,0.9589,0.96281,0.96736,0.72183,0.27644,0.36345,0.37055,6.172e-05,6.172e-05,6.172e-05
118,6041.11,0.14543,0.28801,0.12308,0.96408,0.9501,0.95706,0.71534,0.28,0.37595,0.38614,6.139e-05,6.139e-05,6.139e-05
119,6092.39,0.14672,0.28891,0.12411,0.96969,0.94882,0.95829,0.71576,0.27574,0.37037,0.38009,6.106e-05,6.106e-05,6.106e-05
120,6143.47,0.1491,0.2817,0.13381,0.97201,0.95505,0.96559,0.71567,0.2765,0.36866,0.38306,6.073e-05,6.073e-05,6.073e-05
121,6194.38,0.14889,0.28429,0.13413,0.97345,0.95133,0.96414,0.72448,0.27651,0.35291,0.3743,6.04e-05,6.04e-05,6.04e-05
122,6245.57,0.14372,0.27542,0.12235,0.96266,0.9607,0.96768,0.73767,0.26796,0.36017,0.36133,6.007e-05,6.007e-05,6.007e-05
123,6296.87,0.14545,0.28159,0.13004,0.96986,0.95479,0.96356,0.71959,0.2767,0.37691,0.37563,5.974e-05,5.974e-05,5.974e-05
124,6347.96,0.13806,0.27293,0.11984,0.96674,0.95914,0.96274,0.71661,0.28001,0.37096,0.38897,5.941e-05,5.941e-05,5.941e-05
125,6399.1,0.14408,0.2832,0.12765,0.97464,0.95624,0.96529,0.72458,0.27391,0.36481,0.37924,5.908e-05,5.908e-05,5.908e-05
126,6450.12,0.14059,0.27451,0.12222,0.97448,0.96561,0.96641,0.72163,0.27318,0.36325,0.3785,5.875e-05,5.875e-05,5.875e-05
127,6501.23,0.14224,0.28132,0.13007,0.98184,0.95249,0.96748,0.71746,0.28193,0.38097,0.39149,5.842e-05,5.842e-05,5.842e-05
128,6552.28,0.13902,0.27048,0.12168,0.9801,0.95229,0.96503,0.7234,0.28014,0.36873,0.38057,5.809e-05,5.809e-05,5.809e-05
129,6603.35,0.1449,0.27926,0.12353,0.97436,0.95514,0.96618,0.72281,0.27539,0.36301,0.38335,5.776e-05,5.776e-05,5.776e-05
130,6654.39,0.136,0.25976,0.1194,0.97133,0.96274,0.96315,0.72126,0.27685,0.36504,0.38824,5.743e-05,5.743e-05,5.743e-05
131,6705.48,0.13859,0.27558,0.12174,0.97562,0.96544,0.96681,0.72718,0.27226,0.35936,0.37426,5.71e-05,5.71e-05,5.71e-05
132,6756.51,0.1417,0.28242,0.12218,0.97777,0.96331,0.9662,0.72353,0.27351,0.37698,0.38255,5.677e-05,5.677e-05,5.677e-05
133,6807.51,0.14353,0.27174,0.11945,0.981,0.95363,0.96556,0.71843,0.27797,0.37273,0.38975,5.644e-05,5.644e-05,5.644e-05
134,6858.55,0.13241,0.26819,0.11962,0.97055,0.95812,0.95916,0.721,0.27272,0.35092,0.37746,5.611e-05,5.611e-05,5.611e-05
135,6909.62,0.14354,0.28703,0.12409,0.97331,0.9629,0.96852,0.72728,0.27122,0.37101,0.37588,5.578e-05,5.578e-05,5.578e-05
136,6960.62,0.13381,0.26666,0.11462,0.97458,0.95966,0.96662,0.72553,0.27328,0.36417,0.38061,5.545e-05,5.545e-05,5.545e-05
137,7011.68,0.13144,0.26523,0.1156,0.97126,0.96392,0.96148,0.72093,0.27708,0.38304,0.39451,5.512e-05,5.512e-05,5.512e-05
138,7062.72,0.13439,0.26905,0.11862,0.97529,0.95465,0.96619,0.72374,0.27151,0.38695,0.37058,5.479e-05,5.479e-05,5.479e-05
139,7113.75,0.13018,0.27022,0.11347,0.97582,0.96144,0.96379,0.71302,0.28195,0.37818,0.39656,5.446e-05,5.446e-05,5.446e-05
140,7164.82,0.14224,0.26352,0.1254,0.97407,0.95879,0.96269,0.7079,0.28846,0.37164,0.41247,5.413e-05,5.413e-05,5.413e-05
141,7215.85,0.13452,0.25917,0.11366,0.97259,0.95763,0.96361,0.70977,0.28349,0.39579,0.39839,5.38e-05,5.38e-05,5.38e-05
142,7266.83,0.13141,0.25362,0.11942,0.97347,0.95246,0.96512,0.72232,0.27602,0.37254,0.38145,5.347e-05,5.347e-05,5.347e-05
143,7317.79,0.13494,0.26533,0.11635,0.97775,0.95902,0.96716,0.71859,0.27502,0.37622,0.38035,5.314e-05,5.314e-05,5.314e-05
